run_id,run_ts,model,window_start,window_end,window_n,model_version,reference_window,metric_kind,feature,value,reference,band,alert
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,is_weekend,0.0003133668214881236,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,risk_score,0.00019947608699803678,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,has_prior_visit,0.0001088832576913458,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,is_first_visit,0.0001088832576913458,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,prediction_psi,,0.001315445482208196,0.0,stable,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,Paid,0.33444444444444443,0.3415492957746479,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,Pending,0.2477777777777778,0.2323943661971831,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,class_share,Rejected,0.4177777777777778,0.426056338028169,info,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,gate_fail_rate,,0.0,0.0,ok,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,perf_recall_costly,Rejected,0.6220472440944882,0.62,ok,False
937463b9-54c9-43ee-a543-27d3a05b38f3,2026-09-04 11:32:51.742700+00:00,B,2026-08-21 11:43:09.435717+00:00,2026-08-28 11:20:46.927393+00:00,900,1.0.0,phase3-test 2025-11-20..2026-01-20,perf_net_recovered,,51517.43446557387,250000.0,info,False
f24d319f-a58b-42ee-a382-abc5ce271b8b,2026-09-04 11:32:53.035778+00:00,A,2026-08-28 11:39:07.303611+00:00,2026-09-04 10:24:49.059499+00:00,1400,1.0.0,phase3-test 2025-11-20..2026-01-20,feature_psi,insurance_provider,0.6677531244393496,0.0,significant,True
